temp, average_E, average_mag, diff_E, diff_mag, error
1.0, -4795.071789686552, 2498.1779575328615, 59.23549335920607, 4.093710287377532, 0.0012728361274797846
1.1, -4786.962588473205, 2495.9676440849344, 124.12094618150515, 9.074787270695547, 0.0021212734806078186
1.2, -4775.098078867543, 2492.6632962588474, 231.89836840227335, 18.11615536319126, 0.0029292348521168447
1.3, -4754.839231547017, 2486.8897876643073, 429.6253162952231, 35.8109068305455, 0.005157147275862757
1.4, -4725.656218402427, 2478.4873609706774, 609.4753430301568, 54.625977767576806, 0.005681822852653061
1.5, -4683.7775530839235, 2466.06268958544, 1046.15476408338, 105.91720247290468, 0.008719574641970611
1.6, -4629.931243680486, 2449.1971688574317, 1563.6272240346543, 172.1077371818006, 0.010800592568060336
1.7000000000000002, -4555.658240647118, 2424.4529828109203, 2366.172381535617, 302.5571928217471, 0.0161239754672124
1.8, -4462.875631951466, 2391.59757330637, 3773.2555133771793, 576.9421983578718, 0.0223773303675557
1.9, -4346.153690596562, 2345.872598584429, 4981.654842294564, 1000.2143047741538, 0.024807511004892466
2.0, -4193.894843276036, 2279.437815975733, 6908.939397068461, 1938.9680745020298, 0.0324973973065275
2.1, -3988.4590495449947, 2167.5894843276037, 11212.080476750829, 6352.377482949452, 0.04936357768411807
2.2, -3714.3599595551063, 1976.7259858442872, 16044.295100503925, 16947.94210532235, 0.058589609998490964
2.3, -3274.519716885743, 1249.6400404448939, 26167.685404975462, 240708.64292659087, 0.08494903564606594
2.4000000000000004, -2899.6157735085944, 576.8331648129424, 17419.929215301585, 141178.08844509014, 0.05285935222824371
2.5, -2659.1526794742163, 338.15369059656217, 13239.2780034372, 57342.88436706706, 0.035777769951895404
2.6, -2464.938321536906, 249.35288169868554, 11831.394577971436, 33007.589326882866, 0.03150780166344602
2.7, -2314.3073811931245, 206.2386248736097, 10130.671947540235, 24298.33739588456, 0.025216201356958082
2.8, -2178.632962588473, 173.07583417593528, 9317.84809445866, 15889.220740583221, 0.02158535460784866
2.9000000000000004, -2069.5470171890797, 147.2901921132457, 9642.302389990604, 12038.610429588976, 0.019695782097009975
3.0, -1965.9858442871587, 134.88776541961576, 9456.731852194156, 10877.039981760947, 0.01813573372466196
