temp, average_E, average_mag, diff_E, diff_mag, error
1.0, -4525.318503538928, 4.0, 285.1614473055992, 0.0, 0.00491941388267617
1.1, -4514.080889787664, 4.0, 327.6294527977622, 0.0, 0.00565323299643338
1.2, -4492.143579373104, 4.0, 515.8337833458233, 0.0, 0.006673035785690904
1.3, -4454.719919110213, 4.0, 764.2703919044781, 0.0, 0.008807203139674633
1.4, -4416.198179979778, 4.0, 969.5057196400037, 0.0, 0.009205343442700246
1.5, -4365.587462082912, 4.0, 1441.2130278360246, 0.0, 0.011579624368977495
1.6, -4308.51567239636, 4.0, 1983.8351942142126, 0.0, 0.014578326802425837
1.7000000000000002, -4227.140546006067, 4.0, 2788.3209950507144, 0.0, 0.0170311423891494
1.8, -4127.797775530839, 4.0, 3495.8620375188752, 0.0, 0.019823961681038147
1.9, -4020.1941354903943, 4.0, 4911.784353878507, 0.0, 0.024900592919192204
2.0, -3839.747219413549, 4.0, 7135.018002885124, 0.0, 0.03296047616121619
2.1, -3649.274014155713, 4.0, 9694.101862652984, 0.0, 0.036310269047577406
2.2, -3389.464105156724, 4.0, 10628.610693360024, 0.0, 0.04012614055156298
2.3, -3122.4772497472195, 4.0, 15074.247460181306, 0.0, 0.053731158633519294
2.4000000000000004, -2845.267947421638, 4.0, 13085.126384159015, 0.0, 0.038813825632155595
2.5, -2626.845298281092, 4.0, 12461.877988510625, 0.0, 0.03345557391179884
2.6, -2450.762386248736, 4.0, 11401.234742940802, 0.0, 0.03210091074219851
2.7, -2297.8382204246714, 4.0, 10372.786769735032, 0.0, 0.02605206442636956
2.8, -2159.9494438827096, 4.0, 9214.335158942502, 0.0, 0.020193517411010026
2.9000000000000004, -2044.695652173913, 4.0, 8942.707170176287, 0.0, 0.020257082188032897
3.0, -1946.309403437816, 4.0, 8271.98111481095, 0.0, 0.016968076963954894
